astemizole,azimilide,bepridil,chlorpromazine,cisapride,clarithromycin,clozapine,diltiazem,disopyramide,dofetilide,domperidone,droperidol,ibutilide,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ondansetron,pimozide,quinidine,ranolazine,risperidone,sotalol,tamoxifen,terfenadine,vandetanib,verapamil
0.1,0.4,1.4,14.1,0.1,100,10,100,316.2,0.1,3.2,1,0.1,20,395.3,176.8,44721.4,3162.3,10,0.001,10,100,164.3,1414.2,14.1,0.1,5.2,5.2
0.177827941,0.894427191,2.288737718,23.00987898,0.177827941,177.827941,17.7827941,177.827941,421.6687332,0.177827941,4.254636718,1.77827941,0.177827941,35.5655882,626.8737912,342.8441139,54687.30767,4216.987377,17.7827941,0.001778279,17.7827941,177.827941,190.9890578,2306.126491,23.00987898,0.177827941,8.059030908,8.059030908
0.316227766,2,3.741657387,37.54996671,0.316227766,316.227766,31.6227766,316.227766,562.3166368,0.316227766,5.656854249,3.16227766,0.316227766,63.2455532,994.10764,664.8308055,66874.06074,5623.433115,31.6227766,0.003162278,31.6227766,316.227766,222.0135131,3760.585061,37.54996671,0.316227766,12.489996,12.489996
0.562341325,4.472135955,6.116908849,61.27802764,0.562341325,562.3413252,56.23413252,562.3413252,749.8777479,0.562341325,7.521206186,5.623413252,0.562341325,112.468265,1576.473628,1289.215658,81776.56189,7498.955337,56.23413252,0.005623413,56.23413252,562.3413252,258.0776122,6132.360933,61.27802764,0.562341325,19.35716611,19.35716611
1,10,10,100,1,1000,100,1000,1000,1,10,10,1,200,2500,2500,1.00E+05,10000,100,0.01,100,1000,300,10000,100,1,30,30
1.544452105,19.94736599,15.44452105,154.4452105,1.884671638,1668.100537,166.8100537,1668.100537,1291.549665,1.544452105,12.91549665,16.68100537,1.668100537,333.6201074,3766.575476,4504.120577,119581.3175,12915.49665,166.8100537,0.027825594,166.8100537,1668.100537,342.9405919,15444.52105,154.4452105,1.668100537,44.29248066,44.29248066
2.385332304,39.78974098,23.85332304,238.5332304,3.551987182,2782.559402,278.2559402,2782.559402,1668.100537,2.385332304,16.68100537,27.82559402,2.782559402,556.5118804,5674.836326,8114.840868,142996.9148,16681.00537,278.2559402,0.077426368,278.2559402,2782.559402,392.0274986,23853.32304,238.5332304,2.782559402,65.3941281,65.3941281
3.684031499,79.3700526,36.84031499,368.4031499,6.694329501,4641.588834,464.1588834,4641.588834,2154.43469,3.684031499,21.5443469,46.41588834,4.641588834,928.3177667,8549.879733,14620.08869,170997.5947,21544.3469,464.1588834,0.215443469,464.1588834,4641.588834,448.1404747,36840.31499,368.4031499,4.641588834,96.54893846,96.54893846
5.689810203,158.3223488,56.89810203,568.9810203,12.61661294,7742.636827,774.2636827,7742.636827,2782.559402,5.689810203,27.82559402,77.42636827,7.742636827,1548.527365,12881.50693,26340.25692,204481.1765,27825.59402,774.2636827,0.59948425,774.2636827,7742.636827,512.2851988,56898.10203,568.9810203,7.742636827,142.5463996,142.5463996
8.787639344,315.8113835,87.87639344,878.7639344,23.77817258,12915.49665,1291.549665,12915.49665,3593.813664,8.787639344,35.93813664,129.1549665,12.91549665,2583.09933,19407.66724,47455.87728,244521.2848,35938.13664,1291.549665,1.668100537,1291.549665,12915.49665,585.6112976,87876.39344,878.7639344,12.91549665,210.4577883,210.4577883
13.57208808,629.9605249,135.7208808,1357.208808,44.81404747,21544.3469,2154.43469,21544.3469,4641.588834,13.57208808,46.41588834,215.443469,21.5443469,4308.86938,29240.17738,85498.79733,292401.7738,46415.88834,2154.43469,4.641588834,2154.43469,21544.3469,669.4329501,135720.8808,1357.208808,21.5443469,310.7232506,310.7232506
20.96144001,1256.605315,209.6144001,2096.144001,84.45976424,35938.13664,3593.813664,35938.13664,5994.842503,20.96144001,59.94842503,359.3813664,35.93813664,7187.627328,44054.13401,154038.7569,349657.8934,59948.42503,3593.813664,12.91549665,3593.813664,35938.13664,765.2524405,209614.4001,2096.144001,35.93813664,458.7567856,458.7567856
32.37394014,2506.596612,323.7394014,3237.394014,159.1789222,59948.42503,5994.842503,59948.42503,7742.636827,32.37394014,77.42636827,599.4842503,59.94842503,11989.68501,66373.28831,277523.6539,418125.5155,77426.36827,5994.842503,35.93813664,5994.842503,59948.42503,874.7870829,323739.4014,3237.394014,59.94842503,677.3158684,677.3158684
50,5000,500,5000,300,1.00E+05,10000,1.00E+05,10000,50,100,1000,100,20000,1.00E+05,5.00E+05,5.00E+05,1.00E+05,10000,100,10000,1.00E+05,1000,5.00E+05,5000,100,1000,1000
81.53715751,10872.79641,815.3427497,8153.444793,612.015478,177827.941,17782.7941,177827.941,13335.21679,81.53715751,133.3492159,1778.27941,177.827941,35565.5882,158583.3155,969613.7233,611422.274,133352.1468,17782.7941,316.227766,17782.7941,177827.941,1162.404691,815344.7041,8153.444793,177.827941,1550.100272,1550.100272
132.9661611,23643.54034,1329.567599,13295.7324,1248.543151,316227.766,31622.7766,316227.766,17782.80068,132.9661611,177.8201338,3162.27766,316.227766,63245.5532,251486.6796,1880301.545,747674.3944,177827.9506,31622.7766,1000,31622.7766,316227.766,1351.184665,1329573.973,13295.7324,316.227766,2402.810854,2402.810854
216.8336564,51414.2801,2168.106604,21681.20402,2547.092445,562341.3252,56234.13252,562341.3252,23713.75022,216.8336564,237.1217542,5623.413252,562.3413252,112468.265,398815.9145,3646332.364,914289.5569,237137.3897,56234.13252,3162.27766,56234.13252,562341.3252,1570.623393,2168122.195,21681.20402,562.3413252,3724.597759,3724.597759
353.6,111803.4,3535.5,35355.3,5196.2,1.00E+06,1.00E+05,1.00E+06,31622.8,353.6,316.2,10000,1000,2.00E+05,632455.5,7071067.8,1118034,316227.8,1.00E+05,10000,1.00E+05,1.00E+06,1825.7,3535533.9,35355.3,1000,5773.5,5773.5
